"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"162","ARRB2","ENSG00000141480","162.1.1","Arrb2","ENSMUSG00000060216","arrestin, beta 2 [Source:MGI Symbol;Acc:MGI:99474]"
"163","PFN1","ENSG00000108518","163.1.1","Pfn1","ENSMUSG00000018293","profilin 1 [Source:MGI Symbol;Acc:MGI:97549]"
"164","DUSP1","ENSG00000120129","164.1.1","Dusp1","ENSMUSG00000024190","dual specificity phosphatase 1 [Source:MGI Symbol;Acc:MGI:105120]"
"165","USP16","ENSG00000156256","165.1.1","Usp16","ENSMUSG00000025616","ubiquitin specific peptidase 16 [Source:MGI Symbol;Acc:MGI:1921362]"
"166","DCTN4","ENSG00000132912","166.1.1","Dctn4","ENSMUSG00000024603","dynactin 4 [Source:MGI Symbol;Acc:MGI:1914915]"
"167","NASP","ENSG00000132780","167.1.1","Nasp","ENSMUSG00000028693","nuclear autoantigenic sperm protein (histone-binding) [Source:MGI Symbol;Acc:MGI:1355328]"
"168","KAT6A","ENSG00000083168","168.1.1","Kat6a","ENSMUSG00000031540","K(lysine) acetyltransferase 6A [Source:MGI Symbol;Acc:MGI:2442415]"
"169","FAM107B","ENSG00000065809","169.1.1","Fam107b","ENSMUSG00000026655","family with sequence similarity 107, member B [Source:MGI Symbol;Acc:MGI:1913790]"
"170","LRP1","ENSG00000123384","170.1.1","Lrp1","ENSMUSG00000040249","low density lipoprotein receptor-related protein 1 [Source:MGI Symbol;Acc:MGI:96828]"
"171","RASSF2","ENSG00000101265","171.1.1","Rassf2","ENSMUSG00000027339","Ras association (RalGDS/AF-6) domain family member 2 [Source:MGI Symbol;Acc:MGI:2442060]"
"172","EGR2","ENSG00000122877","172.1.1","Egr2","ENSMUSG00000037868","early growth response 2 [Source:MGI Symbol;Acc:MGI:95296]"
"173","AHNAK","ENSG00000124942","173.1.1","Ahnak","ENSMUSG00000069833","AHNAK nucleoprotein [Source:MGI Symbol;Acc:MGI:1316648]"
"174","AP2M1","ENSG00000161203","174.1.1","Ap2m1","ENSMUSG00000022841","adaptor-related protein complex 2, mu 1 subunit [Source:MGI Symbol;Acc:MGI:1298405]"
"175","PCCB","ENSG00000114054","175.1.1","Pccb","ENSMUSG00000032527","propionyl Coenzyme A carboxylase, beta polypeptide [Source:MGI Symbol;Acc:MGI:1914154]"
"176","VIM","ENSG00000026025","176.1.1","Vim","ENSMUSG00000026728","vimentin [Source:MGI Symbol;Acc:MGI:98932]"
"177","AVPI1","ENSG00000119986","177.1.1","Avpi1","ENSMUSG00000018821","arginine vasopressin-induced 1 [Source:MGI Symbol;Acc:MGI:1916784]"
"178","FXYD2","ENSG00000137731","178.1.1","Fxyd2","ENSMUSG00000059412","FXYD domain-containing ion transport regulator 2 [Source:MGI Symbol;Acc:MGI:1195260]"
"179","SPATA13","ENSG00000182957","179.1.1","Spata13","ENSMUSG00000021990","spermatogenesis associated 13 [Source:MGI Symbol;Acc:MGI:104838]"
"179","SPATA13","ENSG00000228741","179.2.1","N/A","N/A","N/A"
"180","APBB1IP","ENSG00000077420","180.1.1","Apbb1ip","ENSMUSG00000026786","amyloid beta precursor protein binding family B member 1 interacting protein [Source:MGI Symbol;Acc:MGI:1861354]"
"181","AHCY","ENSG00000101444","181.1.1","Ahcy","ENSMUSG00000027597","S-adenosylhomocysteine hydrolase [Source:MGI Symbol;Acc:MGI:87968]"
"181","AHCY","ENSG00000101444","181.1.2","Ahcyl","ENSMUSG00000048087","adenosylhomocysteinase like [Source:MGI Symbol;Acc:MGI:3643647]"
"182","USP5","ENSG00000111667","182.1.1","Usp5","ENSMUSG00000038429","ubiquitin specific peptidase 5 (isopeptidase T) [Source:MGI Symbol;Acc:MGI:1347343]"
"183","BLVRA","ENSG00000106605","183.1.1","Blvra","ENSMUSG00000001999","biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170]"
"184","DUSP5","ENSG00000138166","184.1.1","Dusp5","ENSMUSG00000034765","dual specificity phosphatase 5 [Source:MGI Symbol;Acc:MGI:2685183]"
"185","TRMT10A","ENSG00000145331","185.1.1","Trmt10a","ENSMUSG00000004127","tRNA methyltransferase 10A [Source:MGI Symbol;Acc:MGI:1920421]"
"186","EEA1","ENSG00000102189","186.1.1","Eea1","ENSMUSG00000036499","early endosome antigen 1 [Source:MGI Symbol;Acc:MGI:2442192]"
"187","KCTD7","ENSG00000243335","187.1.1","Kctd7","ENSMUSG00000034110","potassium channel tetramerisation domain containing 7 [Source:MGI Symbol;Acc:MGI:2442265]"
"188","RPN2","ENSG00000118705","188.1.1","Rpn2","ENSMUSG00000027642","ribophorin II [Source:MGI Symbol;Acc:MGI:98085]"
"189","FGFR1OP2","ENSG00000111790","189.1.1","Fgfr1op2","ENSMUSG00000040242","FGFR1 oncogene partner 2 [Source:MGI Symbol;Acc:MGI:1914779]"
"190","STX5","ENSG00000162236","190.1.1","Stx5a","ENSMUSG00000010110","syntaxin 5A [Source:MGI Symbol;Acc:MGI:1928483]"
"191","RPRD2","ENSG00000163125","191.1.1","Rprd2","ENSMUSG00000028106","regulation of nuclear pre-mRNA domain containing 2 [Source:MGI Symbol;Acc:MGI:1922387]"
"192","BID","ENSG00000015475","192.1.1","Bid","ENSMUSG00000004446","BH3 interacting domain death agonist [Source:MGI Symbol;Acc:MGI:108093]"
"193","CAPG","ENSG00000042493","193.1.1","Capg","ENSMUSG00000056737","capping actin protein, gelsolin like [Source:MGI Symbol;Acc:MGI:1098259]"
"194","C5AR2","ENSG00000134830","194.1.1","C5ar2","ENSMUSG00000074361","complement component 5a receptor 2 [Source:MGI Symbol;Acc:MGI:2442013]"
"195","MALT1","ENSG00000172175","195.1.1","Malt1","ENSMUSG00000032688","MALT1 paracaspase [Source:MGI Symbol;Acc:MGI:2445027]"
"196","ALG14","ENSG00000172339","196.1.1","Alg14","ENSMUSG00000039887","asparagine-linked glycosylation 14 [Source:MGI Symbol;Acc:MGI:1914039]"
"197","PATL1","ENSG00000166889","197.1.1","Patl1","ENSMUSG00000046139","protein associated with topoisomerase II homolog 1 (yeast) [Source:MGI Symbol;Acc:MGI:2147679]"
"198","TXNDC11","ENSG00000153066","198.1.1","Txndc11","ENSMUSG00000022498","thioredoxin domain containing 11 [Source:MGI Symbol;Acc:MGI:1923620]"
"199","CFLAR","ENSG00000003402","199.1.1","Cflar","ENSMUSG00000026031","CASP8 and FADD-like apoptosis regulator [Source:MGI Symbol;Acc:MGI:1336166]"
"200","PCED1B","ENSG00000179715","200.1.1","Pced1b","ENSMUSG00000044250","PC-esterase domain containing 1B [Source:MGI Symbol;Acc:MGI:2446270]"
"201","VAPA","ENSG00000101558","201.1.1","Vapa","ENSMUSG00000024091","vesicle-associated membrane protein, associated protein A [Source:MGI Symbol;Acc:MGI:1353561]"
"202","SLC48A1","ENSG00000211584","202.1.1","Slc48a1","ENSMUSG00000081534","solute carrier family 48 (heme transporter), member 1 [Source:MGI Symbol;Acc:MGI:1914989]"
"203","ZNF395","ENSG00000186918","203.1.1","Zfp395","ENSMUSG00000034522","zinc finger protein 395 [Source:MGI Symbol;Acc:MGI:2682318]"
"204","LAIR1","ENSG00000167613","204.1.1","Lair1","ENSMUSG00000055541","leukocyte-associated Ig-like receptor 1 [Source:MGI Symbol;Acc:MGI:105492]"
"205","INTS7","ENSG00000143493","205.1.1","Ints7","ENSMUSG00000037461","integrator complex subunit 7 [Source:MGI Symbol;Acc:MGI:1924315]"
"206","ARF1","ENSG00000143761","206.1.1","Arf1","ENSMUSG00000048076","ADP-ribosylation factor 1 [Source:MGI Symbol;Acc:MGI:99431]"
"207","PPFIBP2","ENSG00000166387","207.1.1","Ppfibp2","ENSMUSG00000036528","PTPRF interacting protein, binding protein 2 (liprin beta 2) [Source:MGI Symbol;Acc:MGI:894649]"
"208","ETV5","ENSG00000244405","208.1.1","Etv5","ENSMUSG00000013089","ets variant 5 [Source:MGI Symbol;Acc:MGI:1096867]"
"209","C1QB","ENSG00000173369","209.1.1","C1qb","ENSMUSG00000036905","complement component 1, q subcomponent, beta polypeptide [Source:MGI Symbol;Acc:MGI:88224]"
"210","TDP2","ENSG00000111802","210.1.1","Tdp2","ENSMUSG00000035958","tyrosyl-DNA phosphodiesterase 2 [Source:MGI Symbol;Acc:MGI:1860486]"
"211","ARHGAP4","ENSG00000089820","211.1.1","Arhgap4","ENSMUSG00000031389","Rho GTPase activating protein 4 [Source:MGI Symbol;Acc:MGI:2159577]"
"212","RESF1","ENSG00000174718","212.1.1","Resf1","ENSMUSG00000032712","retroelement silencing factor 1 [Source:MGI Symbol;Acc:MGI:1914496]"
"213","CSE1L","ENSG00000124207","213.1.1","Cse1l","ENSMUSG00000002718","chromosome segregation 1 like [Source:MGI Symbol;Acc:MGI:1339951]"
"214","MGAT5","ENSG00000152127","214.1.1","Mgat5","ENSMUSG00000036155","mannoside acetylglucosaminyltransferase 5 [Source:MGI Symbol;Acc:MGI:894701]"
"215","LTA4H","ENSG00000111144","215.1.1","Lta4h","ENSMUSG00000015889","leukotriene A4 hydrolase [Source:MGI Symbol;Acc:MGI:96836]"
"216","ANTXR2","ENSG00000163297","216.1.1","Antxr2","ENSMUSG00000029338","anthrax toxin receptor 2 [Source:MGI Symbol;Acc:MGI:1919164]"
"217","LSM4","ENSG00000130520","217.1.1","Lsm4","ENSMUSG00000031848","LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:MGI Symbol;Acc:MGI:1354692]"
"218","EPS8","ENSG00000151491","218.1.1","Eps8","ENSMUSG00000015766","epidermal growth factor receptor pathway substrate 8 [Source:MGI Symbol;Acc:MGI:104684]"
"219","PES1","ENSG00000100029","219.1.1","Pes1","ENSMUSG00000020430","pescadillo ribosomal biogenesis factor 1 [Source:MGI Symbol;Acc:MGI:1890613]"
"220","AIF1","ENSG00000204472","220.1.1","Aif1","ENSMUSG00000024397","allograft inflammatory factor 1 [Source:MGI Symbol;Acc:MGI:1343098]"
"221","GLUL","ENSG00000135821","221.1.1","Glul","ENSMUSG00000026473","glutamate-ammonia ligase [Source:MGI Symbol;Acc:MGI:95739]"
"222","GPBP1L1","ENSG00000159592","222.1.1","Gpbp1l1","ENSMUSG00000034042","GC-rich promoter binding protein 1-like 1 [Source:MGI Symbol;Acc:MGI:1924360]"
"223","CPEB4","ENSG00000113742","223.1.1","Cpeb4","ENSMUSG00000020300","cytoplasmic polyadenylation element binding protein 4 [Source:MGI Symbol;Acc:MGI:1914829]"
"224","WIPF1","ENSG00000115935","224.1.1","Wipf1","ENSMUSG00000075284","WAS/WASL interacting protein family, member 1 [Source:MGI Symbol;Acc:MGI:2178801]"
"225","TMIGD3","ENSG00000121933","225.1.1","Tmigd3","ENSMUSG00000074344","transmembrane and immunoglobulin domain containing 3 [Source:MGI Symbol;Acc:MGI:5604098]"
"226","MARCKS","ENSG00000277443","226.1.1","Marcks","ENSMUSG00000069662","myristoylated alanine rich protein kinase C substrate [Source:MGI Symbol;Acc:MGI:96907]"
"227","TMEM242","ENSG00000215712","227.1.1","Tmem242","ENSMUSG00000004945","transmembrane protein 242 [Source:MGI Symbol;Acc:MGI:1917794]"
"228","GPR65","ENSG00000140030","228.1.1","Gpr65","ENSMUSG00000021886","G-protein coupled receptor 65 [Source:MGI Symbol;Acc:MGI:108031]"
"229","CLTA","ENSG00000122705","229.1.1","Clta","ENSMUSG00000028478","clathrin light chain A [Source:MGI Symbol;Acc:MGI:894297]"
"230","BRD8","ENSG00000112983","230.1.1","Brd8","ENSMUSG00000003778","bromodomain containing 8 [Source:MGI Symbol;Acc:MGI:1925906]"
"231","ARRDC3","ENSG00000113369","231.1.1","Arrdc3","ENSMUSG00000074794","arrestin domain containing 3 [Source:MGI Symbol;Acc:MGI:2145242]"
"232","RAB4B","ENSG00000167578","232.1.1","Rab4b","ENSMUSG00000053291","RAB4B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105071]"
"233","DIPK2A","ENSG00000181744","233.1.1","Dipk2a","ENSMUSG00000045414","divergent protein kinase domain 2A [Source:MGI Symbol;Acc:MGI:1916111]"
"234","ZNF219","ENSG00000165804","234.1.1","Zfp219","ENSMUSG00000049295","zinc finger protein 219 [Source:MGI Symbol;Acc:MGI:1917140]"
"235","PTPRJ","ENSG00000149177","235.1.1","Ptprj","ENSMUSG00000025314","protein tyrosine phosphatase receptor type J [Source:MGI Symbol;Acc:MGI:104574]"
"236","CCDC12","ENSG00000160799","236.1.1","Ccdc12","ENSMUSG00000019659","coiled-coil domain containing 12 [Source:MGI Symbol;Acc:MGI:1919904]"
"237","PNRC2","ENSG00000189266","237.1.1","Pnrc2","ENSMUSG00000028675","proline-rich nuclear receptor coactivator 2 [Source:MGI Symbol;Acc:MGI:106512]"
"238","MEMO1","ENSG00000162959","238.1.1","Memo1","ENSMUSG00000058704","mediator of cell motility 1 [Source:MGI Symbol;Acc:MGI:1924140]"
"239","ATP6V0A1","ENSG00000033627","239.1.1","Atp6v0a1","ENSMUSG00000019302","ATPase, H+ transporting, lysosomal V0 subunit A1 [Source:MGI Symbol;Acc:MGI:103286]"
"240","PARP1","ENSG00000143799","240.1.1","Parp1","ENSMUSG00000026496","poly (ADP-ribose) polymerase family, member 1 [Source:MGI Symbol;Acc:MGI:1340806]"
"241","NF2","ENSG00000186575","241.1.1","Nf2","ENSMUSG00000009073","neurofibromin 2 [Source:MGI Symbol;Acc:MGI:97307]"
"242","GLIPR1","ENSG00000139278","242.1.1","Glipr1","ENSMUSG00000056888","GLI pathogenesis related 1 [Source:MGI Symbol;Acc:MGI:1920940]"
"243","CAPZA2","ENSG00000198898","243.1.1","Capza2","ENSMUSG00000015733","capping actin protein of muscle Z-line subunit alpha 2 [Source:MGI Symbol;Acc:MGI:106222]"
"244","PPP1R10","ENSG00000204569","244.1.1","Ppp1r10","ENSMUSG00000039220","protein phosphatase 1, regulatory subunit 10 [Source:MGI Symbol;Acc:MGI:1289273]"
"245","MAFG","ENSG00000197063","245.1.1","Mafg","ENSMUSG00000051510","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian) [Source:MGI Symbol;Acc:MGI:96911]"
"246","CENPO","ENSG00000138092","246.1.1","Cenpo","ENSMUSG00000020652","centromere protein O [Source:MGI Symbol;Acc:MGI:1923800]"
"247","SLC9A9","ENSG00000181804","247.1.1","Slc9a9","ENSMUSG00000031129","solute carrier family 9 (sodium/hydrogen exchanger), member 9 [Source:MGI Symbol;Acc:MGI:2679732]"
"248","SLC46A3","ENSG00000139508","248.1.1","Slc46a3","ENSMUSG00000029650","solute carrier family 46, member 3 [Source:MGI Symbol;Acc:MGI:1918956]"
"249","CCDC90B","ENSG00000137500","249.1.1","Ccdc90b","ENSMUSG00000030613","coiled-coil domain containing 90B [Source:MGI Symbol;Acc:MGI:1913615]"
"250","CEP250","ENSG00000126001","250.1.1","Cep250","ENSMUSG00000038241","centrosomal protein 250 [Source:MGI Symbol;Acc:MGI:108084]"
"251","CNDP2","ENSG00000133313","251.1.1","Cndp2","ENSMUSG00000024644","CNDP dipeptidase 2 [Source:MGI Symbol;Acc:MGI:1913304]"
"252","LACTB2","ENSG00000147592","252.1.1","Lactb2","ENSMUSG00000025937","lactamase, beta 2 [Source:MGI Symbol;Acc:MGI:2442551]"
"253","GGA1","ENSG00000100083","253.1.1","Gga1","ENSMUSG00000033128","golgi associated, gamma adaptin ear containing, ARF binding protein 1 [Source:MGI Symbol;Acc:MGI:2146207]"
"254","MEX3C","ENSG00000176624","254.1.1","Mex3c","ENSMUSG00000037253","mex3 RNA binding family member C [Source:MGI Symbol;Acc:MGI:2652843]"
"255","TMED10","ENSG00000170348","255.1.1","Tmed10","ENSMUSG00000021248","transmembrane p24 trafficking protein 10 [Source:MGI Symbol;Acc:MGI:1915831]"
"256","DOCK10","ENSG00000135905","256.1.1","Dock10","ENSMUSG00000038608","dedicator of cytokinesis 10 [Source:MGI Symbol;Acc:MGI:2146320]"
"257","MACO1","ENSG00000204178","257.1.1","Maco1","ENSMUSG00000028826","macoilin 1 [Source:MGI Symbol;Acc:MGI:1913396]"
"258","CDIP1","ENSG00000089486","258.1.1","Cdip1","ENSMUSG00000004071","cell death inducing Trp53 target 1 [Source:MGI Symbol;Acc:MGI:1913876]"
"259","PGD","ENSG00000142657","259.1.1","Pgd","ENSMUSG00000028961","phosphogluconate dehydrogenase [Source:MGI Symbol;Acc:MGI:97553]"
"260","TP53","ENSG00000141510","260.1.1","Trp53","ENSMUSG00000059552","transformation related protein 53 [Source:MGI Symbol;Acc:MGI:98834]"
"261","ZFAND5","ENSG00000107372","261.1.1","Zfand5","ENSMUSG00000024750","zinc finger, AN1-type domain 5 [Source:MGI Symbol;Acc:MGI:1278334]"
"262","AKR1A1","ENSG00000117448","262.1.1","Akr1a1","ENSMUSG00000028692","aldo-keto reductase family 1, member A1 [Source:MGI Symbol;Acc:MGI:1929955]"
"263","TPP2","ENSG00000134900","263.1.1","Tpp2","ENSMUSG00000041763","tripeptidyl peptidase II [Source:MGI Symbol;Acc:MGI:102724]"
"264","MAP2K3","ENSG00000034152","264.1.1","Map2k3","ENSMUSG00000018932","mitogen-activated protein kinase kinase 3 [Source:MGI Symbol;Acc:MGI:1346868]"
"265","DHRS3","ENSG00000162496","265.1.1","Dhrs3","ENSMUSG00000066026","dehydrogenase/reductase 3 [Source:MGI Symbol;Acc:MGI:1315215]"
"266","SSBP3","ENSG00000157216","266.1.1","Ssbp3","ENSMUSG00000061887","single-stranded DNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1919725]"
"267","SGPL1","ENSG00000166224","267.1.1","Sgpl1","ENSMUSG00000020097","sphingosine phosphate lyase 1 [Source:MGI Symbol;Acc:MGI:1261415]"
"268","M6PR","ENSG00000003056","268.1.1","M6pr","ENSMUSG00000007458","mannose-6-phosphate receptor, cation dependent [Source:MGI Symbol;Acc:MGI:96904]"
"269","P2RY12","ENSG00000169313","269.1.1","P2ry12","ENSMUSG00000036353","purinergic receptor P2Y, G-protein coupled 12 [Source:MGI Symbol;Acc:MGI:1918089]"
"270","OSGIN1","ENSG00000140961","270.1.1","Osgin1","ENSMUSG00000074063","oxidative stress induced growth inhibitor 1 [Source:MGI Symbol;Acc:MGI:1919089]"
"271","TPGS1","ENSG00000141933","271.1.1","Tpgs1","ENSMUSG00000020308","tubulin polyglutamylase complex subunit 1 [Source:MGI Symbol;Acc:MGI:106618]"
"272","CRYL1","ENSG00000165475","272.1.1","Cryl1","ENSMUSG00000021947","crystallin, lambda 1 [Source:MGI Symbol;Acc:MGI:1915881]"
"273","NR3C1","ENSG00000113580","273.1.1","Nr3c1","ENSMUSG00000024431","nuclear receptor subfamily 3, group C, member 1 [Source:MGI Symbol;Acc:MGI:95824]"
"274","RIN2","ENSG00000132669","274.1.1","Rin2","ENSMUSG00000001768","Ras and Rab interactor 2 [Source:MGI Symbol;Acc:MGI:1921280]"
"275","BTAF1","ENSG00000095564","275.1.1","Btaf1","ENSMUSG00000040565","B-TFIID TATA-box binding protein associated factor 1 [Source:MGI Symbol;Acc:MGI:2147538]"
"276","PTPRE","ENSG00000132334","276.1.1","Ptpre","ENSMUSG00000041836","protein tyrosine phosphatase receptor type E [Source:MGI Symbol;Acc:MGI:97813]"
"277","DNAJB1","ENSG00000132002","277.1.1","Dnajb1","ENSMUSG00000005483","DnaJ heat shock protein family (Hsp40) member B1 [Source:MGI Symbol;Acc:MGI:1931874]"
"278","LDLR","ENSG00000130164","278.1.1","Ldlr","ENSMUSG00000032193","low density lipoprotein receptor [Source:MGI Symbol;Acc:MGI:96765]"
"279","RCAN1","ENSG00000159200","279.1.1","Rcan1","ENSMUSG00000022951","regulator of calcineurin 1 [Source:MGI Symbol;Acc:MGI:1890564]"
"280","BOLA1","ENSG00000178096","280.1.1","Bola1","ENSMUSG00000015943","bolA family member 1 [Source:MGI Symbol;Acc:MGI:1916418]"
"281","HS2ST1","ENSG00000153936","281.1.1","Hs2st1","ENSMUSG00000040151","heparan sulfate 2-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1346049]"
"282","NTPCR","ENSG00000135778","282.1.1","Ntpcr","ENSMUSG00000031851","nucleoside-triphosphatase, cancer-related [Source:MGI Symbol;Acc:MGI:1913816]"
"283","HK1","ENSG00000156515","283.1.1","Hk1","ENSMUSG00000037012","hexokinase 1 [Source:MGI Symbol;Acc:MGI:96103]"
"284","TRIM45","ENSG00000134253","284.1.1","Trim45","ENSMUSG00000033233","tripartite motif-containing 45 [Source:MGI Symbol;Acc:MGI:1918187]"
"285","PREPL","ENSG00000138078","285.1.1","Prepl","ENSMUSG00000024127","prolyl endopeptidase-like [Source:MGI Symbol;Acc:MGI:2441932]"
"286","CCL3","ENSG00000277632","286.1.1","Ccl3","ENSMUSG00000000982","C-C motif chemokine ligand 3 [Source:MGI Symbol;Acc:MGI:98260]"
"287","PXK","ENSG00000168297","287.1.1","Pxk","ENSMUSG00000033885","PX domain containing serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1289230]"
"288","MAFB","ENSG00000204103","288.1.1","Mafb","ENSMUSG00000074622","MAF bZIP transcription factor B [Source:MGI Symbol;Acc:MGI:104555]"
"289","RBM15","ENSG00000162775","289.1.1","Rbm15","ENSMUSG00000048109","RNA binding motif protein 15 [Source:MGI Symbol;Acc:MGI:2443205]"
"290","POLR1A","ENSG00000068654","290.1.1","Polr1a","ENSMUSG00000049553","polymerase (RNA) I polypeptide A [Source:MGI Symbol;Acc:MGI:1096397]"
"291","LGALS1","ENSG00000100097","291.1.1","Lgals1","ENSMUSG00000068220","lectin, galactose binding, soluble 1 [Source:MGI Symbol;Acc:MGI:96777]"
"292","DOK1","ENSG00000115325","292.1.1","Dok1","ENSMUSG00000068335","docking protein 1 [Source:MGI Symbol;Acc:MGI:893587]"
"293","ANGPTL4","ENSG00000167772","293.1.1","Angptl4","ENSMUSG00000002289","angiopoietin-like 4 [Source:MGI Symbol;Acc:MGI:1888999]"
"294","CEP57","ENSG00000166037","294.1.1","Cep57","ENSMUSG00000031922","centrosomal protein 57 [Source:MGI Symbol;Acc:MGI:1915551]"
"295","PRPF19","ENSG00000110107","295.1.1","Prpf19","ENSMUSG00000024735","pre-mRNA processing factor 19 [Source:MGI Symbol;Acc:MGI:106247]"
"296","ABI3","ENSG00000108798","296.1.1","Abi3","ENSMUSG00000018381","ABI family member 3 [Source:MGI Symbol;Acc:MGI:1913860]"
"297","RALB","ENSG00000144118","297.1.1","Ralb","ENSMUSG00000004451","v-ral simian leukemia viral oncogene B [Source:MGI Symbol;Acc:MGI:1927244]"
"298","RPAIN","ENSG00000129197","298.1.1","Rpain","ENSMUSG00000018449","RPA interacting protein [Source:MGI Symbol;Acc:MGI:1916973]"
"299","KLHL24","ENSG00000114796","299.1.1","Klhl24","ENSMUSG00000062901","kelch-like 24 [Source:MGI Symbol;Acc:MGI:1923035]"
"300","CDC42SE2","ENSG00000158985","300.1.1","Cdc42se2","ENSMUSG00000052298","CDC42 small effector 2 [Source:MGI Symbol;Acc:MGI:1919979]"
"301","C9ORF72","ENSG00000147894","301.1.1","C9orf72","ENSMUSG00000028300","C9orf72, member of C9orf72-SMCR8 complex [Source:MGI Symbol;Acc:MGI:1920455]"
"302","DUSP22","ENSG00000112679","302.1.1","Dusp22","ENSMUSG00000069255","dual specificity phosphatase 22 [Source:MGI Symbol;Acc:MGI:1915926]"
"303","SLC27A1","ENSG00000130304","303.1.1","Slc27a1","ENSMUSG00000031808","solute carrier family 27 (fatty acid transporter), member 1 [Source:MGI Symbol;Acc:MGI:1347098]"
"304","ARHGAP25","ENSG00000163219","304.1.1","Arhgap25","ENSMUSG00000030047","Rho GTPase activating protein 25 [Source:MGI Symbol;Acc:MGI:2443687]"
"305","TTC9C","ENSG00000162222","305.1.1","Ttc9c","ENSMUSG00000071660","tetratricopeptide repeat domain 9C [Source:MGI Symbol;Acc:MGI:1917637]"
"306","ZNF668","ENSG00000167394","306.1.1","Zfp668","ENSMUSG00000049728","zinc finger protein 668 [Source:MGI Symbol;Acc:MGI:2442943]"
